text_id,thread_text
3780,"http://www.sfgate.com/cgi-bin/article.cgi?f=/g/a/2009/11/04/notes110409.DTL Morford is a pretty big online columnist in the Bay Area, at least for the online readers. (BTW, my insta-favorite among the Heathenfest lineup has to be Alestorm, perhaps one of the best-named metal bands of all time -- a storm of ale! A tempest of fermented hops! Metalsucks calls them ""a superior pirate metal band,"" which I can only take to mean there's more than one, which is a minor epiphany in itself.)"
3153,"Option paralysis is gonna be SahWEET! Right now im bathing in the glory that is farewell mona lisa, and am constantly reminded how damn good they are (the snare sounds so damn good aswell) Is anyone else excited about this release of spazcore/jazz/br00talz? for newcomers... Atleast wait until the clean interlude <3"
1279,"My band's New Video - Song mastered by Jens Bogren. [ame=""http://www.youtube.com/watch?v=frwqZts54-Y""]http://www.youtube.com/watch?v=frwqZts54-Y[/ame] Let me guide you through the process: Few weeks prior to the concert, we asked all our fans to filmed the show with their cellphones, cameras (regular or pro), in order to use some of their footage for our new video. After a few weeks, we received lots of great footage, our loyal fans, that we actually baptized as 'La Familia S.o.E.' did a spectacular job, they really captured the vibe and energy of our live performance and that's what really makes this video so special; since you can actually see the band through their eyes and emotions. We can't be more thankful to them. This is our best video so far, no doubt about it. Shows the band doing what they do best and in front of the most loyal fans around. ""This is how we live metal in Costa Rica. This is how we show the world what we are made of. We are ready to conquer the World."" ENJOY lads!"
1243,"Conduit Please check out my new project. A pre-production preview has just been released. All mixing was done by me. We are going to be releasing another new song very soon. After that we will be tracking vocals and then recording a debut, full-length album. Like this page if you would like to be updated on the progress. Thanks guys. Hope you dig it."
2527,Pretty cool. I have no clue how even someone would even do an animation like this. Anyone do stuff like this?
1970,"Lets say I'm solely the person who's tracking the singers vocals. We're tracking it line by line. It's my responsibility to make the decision if a take is good enough to keep or if we have to do it again until it gets right. The singer always asks me ""hey, your call, is it good enough?"" Then i'd either say ""let's do it again"" or ""yeah sounds good, let's try next liine"". Sometimes the singer and I would also reach the conclusion together wether a take was good enough or not. Most of the time i'd have to tell the singer if he was singing out of tune, how much, wich words etc and how we should try it differently. If we where dubbing the vocals i'd have to tell if it sounded tight enough and eventually what parts that we needed to redo to get it right. Does that make me a co-producer or am I still just an engineer."
2708,"Hey guys. Had some really nice drums to record this weekend. A Mapex Saturn kit. Was beautiful. Nice and sparkly with nice new heads. The kick drum had a mirror skin on the front... I loved it! We hired out a log cabin for the weekend to record the drums. It's going to be a bonus track on our new EP. The snare drum was an FVF Custom snare. It was 20ply maple sandwiching acrylic. Looked sort of like this but with offset lugs. Anyway, samples are here. http://dl.dropbox.com/u/3526809/SAMPLES.zip There's 3 hard kick hits. The third one is the one I ended up using. Was miced with an Audix D6 right in the hole. There was a kick port thing on the hole which gave off a lot more beef from the kick. I had to get the mic in past it to get the attack I needed. There's 3 hard/medium/soft hits for the snare drum. It's just the dry drum. It was recorded with a Shure Beta 57 about 2 inches above the head pointing towards the middle of the drum. Hope somebody finds these useful"
2477,"I'm recording a song for my girlfriend (for her birthday) and she's a massive Biffy Clyro fan. For those of you not familiar with them, they are a Radio-rock act from Scotland. I can get everything down myself, work out the guitar + bass parts and the drums are fairly easy but I cannot program Strings very well. I imagine there is about 2.30mins of programming needed. The strings are integral to the song working so I would really appreciate some help on this! I have EWQL Symphony Silver, so I literally just need a MIDI file. Heres the song 'Many of Horror': [ame]http://www.youtube.com/watch?v=mAh--lH0H3U&ob=av3e[/ame] Thanks guys!! Oh and if nobody feels like doing this for free, I will happily Paypal $10/8 to anyone who makes a nice job of it!"
1804,"hi guys, just a little heads up, you can download the brand new demo of my new band here: http://dl.dropbox.com/u/1296348/INCEPTION/INCEPTION - DEMO 2011 FINAL MASTER.rar two tracks, style is somewhat melodic-death-ish with clean female vocals on top. this is basically just a little teaser of we'll be doing. a five-track EP is in the works and should be ready in may/june, and some of the songs are quite experimental....i'm definitely not trying to limit myself to ""basic"" melodic death style riffing, some of the stuff actually has quite a thrash influence, some post-metalish parts etc. feel free to comment, tear apart, and shoot me a like at facebook/add me on myspace if you dig it www.myspace.com/inceptionofficial http://www.facebook.com/pages/Inception-Official/189034877797570"
1869,"FUUUUUUUUUUUUUUUUUUUUUCK (sorry for the language) Gustaf is a MONSTER. Liking him more and more as time goes by. This time, time went by too much since we hadn't recorded anything in many months but it looks like it's about to change now. The album might get finished within a few weeks if karma is not a fucking slut to me. Enjoy!"
2921,"Hey yall. Here is a metal remix i did of ""Jizz in my Pants"""
1774,"I'm going to post some DI's soon, I've seen a lot of postings with Dropbox, but I've heard these postings can be droped out of nowhere over time, Should I use Mediafire or somthing else that has less limitations?"
1601,found this on another forum. streaming new foo album. omg its awesome. dave grohl CAN'T not write a hit song if he tried. IMO rope it the best mainstream rock of this century thus far. the video is amazing also. everything sounds great considering it was all done in his garage. http://consequenceofsound.net/2011/04/stream-foo- fighters-wasting-light/
885,"Hey guys, The band is called Divine Ascension and the single is 'Answers'. It's from the album 'As The Truth Appears', which is coming out in October. We finished this record at the start of the year, after which the guys were picked up by Intromental management and most recently signed by Nightmare records in the US. http://www.metalinjection.net/tv/view/7707/divine-ascension-answers-video It seems to be video quarter over here, with many of my clients finishing up debut music clips."
3670,"What are your favorite songs that you use to compare your mixes to when your mixing and mastering and why? What is your favorite Sneap song and also what is your favorite non-Sneap song? I usually use 2 songs, to get in that ballpark... My go to sneap song is usually off ""Formation of Damnation"" by Testament. Usually it's Henchmen Ride or the Evil has Landed. The reason is I just love the drums on that album. The Guitar tone is there, to my ears everything is just so well balanced and tone wise it's there. My mixes don't sound like this, but certain aspects I like to compare my mixes to. Even the bass, while not loud, has just the right amount. Usual non-Sneap song is Inflikted by Cavalera Conspiracy. To me this is another incredible sounding mix that just has the right tone, and depth. The song has a nice 3 dimensional sound to it that is hard to beat. Nothing about that song sounds harsh to my ears. Your turn"
3969,just got it now first listen besides the mp3 leak. Tones sound fucking beautiful and have marshall written all over it. Steve Evetts (palendrome heh heh) has done it again and i'm pumped for his work on Dillinger Escape Plan's Option Paralysis
2167,"Hello. Here is the permalink to my introduction post in case you want to see some info. I was routed to this forum by a friend who convinced me that this is the best place to seek guidance in metal production. Info Naturally, I was seeking forum because I need help. Before that, though, I think it's important to provide few informations on the situation: I'm a self-taught producer and composer using software and generally don't know much about music theory, playing instruments or gear. I can, for example, listen and take down melodies on the keyboard with ease, say, but I have no clue what I'm doing. I've spent the past 10 years producing and composing orchestral and electronica music and although I'm good at it, I still do everything by feeling. it just happened that way and there's no turning back. So when you talk to me, it's best to pretend as if I'm mentally challenged. Since before summer of this year I finally started working on metal-type music, waiting for the right time, y'know, money, software, etc. The music of Rammstein, Ruoska and Eisbrecher is something I'll be aiming at, though other genres are not excluded. However, it's lame to start composing while with every new day my sound shifts to better, so I'm aiming to have an approximately-complete setup and then do a so-called demo album in the future. Problem I'm stuck. The production of this music is different and I'm not familiar with it. I'm learning on the way, but most of my work is method of mistakes. I need a guide because I don't know what to do to increase quality. I think I raped my production yesterday and destroyed even the possibly good sound I had. The software I'm using which is an electric guitar is Shreddage for rythm/powerlead and EEG Strawberry for everything else. We will focus on the Shreddage. The amps I'm using are Metal Amp Room, Revalver MKIII and Guitar Rig 4 (as well as TSE ENGL head freeware). The host is FL Studio and it's the only program that suits me. I was convinced that although I can't reach 100% exact sound, I can reach 85-92% of what I want and for that the MAR and especially Revalver should do the trick. If you know better, please suggest so. I will not be using real equpiment. This is the perfect sound I want to approach: . Alternatively, it's this: and the likes. Now, ignore bass-drums (bass is Pettin, drums are Addictive Drums), this is where I'm with my current setup (want Pirunkieli): This is revalvermkIII cabinet default x4 with TSE head and a bit of EQ (cut below 200, reduced mid): Riff Revalver MKIII+TSE Speedyshare This is Metal Amp Room: Riff Metal Amp Speedyshare This is Guitar Rig 4 Rammfire head+cabinet no control room: Riff GR4 Rammfire Speedyshare All three plays are on Shreddage with open sustains which means I'm layering notes to make a powerchord, although shreddage does have auto-powerchords which I generally don't like because it' lacks composing freedom. // So, the issues: The screeching, trashy sound, too much in front, too much extra noise, it kinda iron-screeches cccc when palm muting instead being soft, clean but strong, etc. Whenever I improve, I think fuck this is great this shit can't get better, then I listen a song next day and realize it's not good enough. Then I listen to Ruoska and realize it's not good at all. No clue what to do anymore (please don't say buy real equipment, that's not the point because I heard brilliant mixes based exclusively on software )."
3133,Have to say that I'm pretty impressed by the video. With labels trying to cut corners on everything this looks pretty good. To bad on this video the sound is clipping like a mofo.
2543,"So, in contrast to the other thread, post your favourite lines! Do not post entire lyrics, just a single line or two that really catch your ear in a good way Soilwork - Structure Divine ""Back to normal a feast on moral, served on a silver plate"" Suburban Tribe - Frozen Ashes ""And when the last breath of smoke is fading into the cold moonlight there's nothing left to hide but frozen ashes"" Soilwork - The Analyst ""Guilty by association, sinner of mankind I'm forced to build my life upon this hidden path I just can't find"" Laibach - Achtung Denken ist nicht immer wissen und wissen ist keine weisheit Schlafen ist noch nicht das sterben, abert todt is immer bereit (""Thinking isn't always knowing, and knowledge isn't wisdom Sleep isn't death, but death is always ready"") Dark Funeral - 666 Voice Inside ""666 demons inside - to kill them all only one must die"" Depeche Mode - Walking In My Shoes ""Now I'm not looking for absolution, forgiveness for the things I do"""
4464,"Check out the instrumental (pretty rough mix/master). Tracking vox tomorrow, I'll keep yall' posted. http://www.mediafire.com/?sharekey=dbe7675ae405075c41446e35a78dc463e04e75f6e8ebb871 Feedback?"
4100,"Hey guys! A couple of months ago I finished my music degree and I did a videogame music demo for my final project because I'd like to find a permanent job in this domain next summer, when I'll have completely finish school. I had a pretty good grade but I'd like to improve my demo because I know I can do a lot better now. However, I think some parts of my demo are cool and I should keep them. This is where I need your help. It would be REALLY cool if you could listen to my demo and tell me : A) 3 songs you think I should keep B) 3 songs you think I shouldn't keep The demo contains 9 short clips of different music styles, here's the list: 1) Orchestral 2) Elfman-style 3) Pop/Commercial (If I keep it I'll add rihanna-style vocals) 4) Disco 5) Jungle/rock 6) Acoustic 7) Rock 8) More of an ambiance track for horror games when you're being attacked 9) Horror Personally, I'd keep 1,2 and 10, and I'd throw out 5,7,8. And please judge for the music, not the production, I'll remix it anyway Thanks a lot! Here's the link: http://dl.getdropbox.com/u/317666/DEMO-MAX-V2.mp3"
164,I don't know if it's ever been posted over here. Anyway a video about production! here's the video http://www.recordproduction.com/andy-sneap.htm
356,"Some of you may know my Mac took a shit like 2 years ago and Ive been assed out ever since... long story... but anyways: Ive got access to this Lenovo thats pretty powerful... cept no firewire... It DOES have an express card.. but its some shit called a MINI expresscard, and its through the fucking baseplate on the bottom. So Im pretty much fucked in my ability to use my digi002, right? I see THIS little fucker here: [ame]http://www.amazon.com/StarTech-FireWire-Adapter-FIREWIRE-External/dp/B00666RA28[/ame] But who knows whats up with that and if it'll work, etc etc... Anybody got any ways I can get something going here?"
4461,shit's as funny as Spinal Tap
2943,"Most of us record music, all of us love Heavy Metal, and with the passing of the legendary Ronnie James Dio the time has come for us to align and create.. The Ultimate Metal Andy Sneap Forum Ronnie James Dio Tribute Album Jeez, that's a fuckin mouth full... Anyways, I figure everyone can suggest tunes from throughout his career and we can assemble a final list and we'll then be able to divide up the songs/instruments. If you are up for contributing just post in here and I'll assemble a list at the bottom of this post, I will also do a song suggestion list at the bottom, with a tally beside it and such. - Paul Guitars Paulie! Song Suggestions Rainbow in the Dark"
2651,http://www.roadrunnerrecords.com/blabbermouth.net/news.aspx?mode=Article&newsitemID=131393 They record in a house into a forest
2865,"Lmfaoaooooooo, felt like covering a song today, so I did. Mix isn't finished yet: http://dl.dropbox.com/u/1317792/SneapStuff/MMIdemo.mp3 Anyone wanna do vocals/bass?"
3178,"http://dl.dropbox.com/u/910836/CYTTD.rar There are two 16 second clips of part of the meshuggah song stengah. A/B them and tell me which you think sounds better. You can speculate on the difference but i won't reveal it until i've got a good number of votes in. EDIT: this is not in any way a trick question. They are different. EDIT2: Now that it's become clear that people really can't tell the difference properly: stengah 2 is the original, stengah was taken down to 8 bit"
2572,"I dont care for hip hop but this is funny watch this first..... [ame]http://www.youtube.com/watch?v=EzNhaLUT520&feature=related[/ame] now watch this one..... ""hide your husbands, too, 'cause dey rapin' everbody out here"""
830,First track is up
4513,"Another amp for Gestalt was completed tonight...This is part of the Preampus Classic Hybrid amp line..Its called Pecker HEAD...This line..HaHa, will be comprised of the following amps... BRAIN.. Pecker HEAD ACDC Type tones very easily created, also includes the Orange HF Gain function, although I don't know how accurate it is...I could not find anything that said exactly what they were doing Dick Head Classic Deep Purple type tone, Black Sabbath, etc. Pick Head Rick Derringer type tones, Ted Nugent, etc Pluck Head Classic Moody Blues type tones, and finally the Gimme Head Sex Pistols type sounds.. These sounds are the goal, but may change as I'm in development..I hope to have most of this line complete this week...and fully released by next week.. KM I'll update this thread with new images as the amps get released to beta.."
4065,"hey there guys, I was just wondering how many of you have contracts for bands to sign before they record in your studio. I`m having trouble with a band that is frequently truant from scheduled recording sessions. Its holding me back because I have other deadlines to meet. I did get half of the payment upfront. but now I have done more work than they have paid me for and their truancy has pushed the project back so far that I wont have time to complete it (which means they dont pay me for the second half) So I`m telling them I am not continuing the project, nor am I booking anymore days for them in my studio. I have other bands coming in. So I will probably have to deal with them talking shit about my studio. In the future I am going to get bands to sign an agreement that they will attend all booked recording dates. failure to attend, without contacting me in advance to cancel, will result in me having the choice of not continue the recording session, and keeping a deposit that they will make prior to signing the agreement. does this sound fair to you guys? Anyone have experience with a similar situation? Does anyone else have bands sign a similar contract? thanks guys! edit: also, what would you think is fair? Should I give them all the raw tracks they recorded, minus my editing and reamping? or should I give them nothing?"
1953,"I couldn't find a thread about this, so I figured I'd post it. Meshuggah revealed yesterday that they're looking at a September/October release, and that Daniel Bergstrand is going to mix it! :Spin: I can't wait! This year already has collaborations between Bogren/Townsend and Bogren/Wilson/Akerfeldt, and now we have Meshuggah/Bergstrand to look forward to as well! http://www.metalinjection.net/upcoming-releases/meshuggah-reveal-details-2011-release"
3712,I got my tickets for the Nashville show Jan 31st! Slayer will give me a headacke but Testament is a DROOL fest. Got seats close to the stage and will be rockin! Anybody else looking forward to the tour?
78,"What's up guys? I am shane, the drummer from Flesh Consumed, Vaginal Bear Trap, Oppressive Force, In Oblivion, Images of Violence, Wilting Away, and Grieved. I run Smoke Break Studios, and am here to offer you drum tracks for you death meta, black metal, doom, grind, whatever-the-fuck band. Here are some examples of tracks i have played on drums: https://wiltingaway.bandcamp.com/ (grindcore) (funeral doom) https://urosepsis.bandcamp.com/releases (death metal) (blackened death metal) (death grind) Send me an email at tmr148@my.utsa.edu for a quote, please include the total length of the project, the number of songs, and the specifics you desire for your project. Cheers!"
1125,Anybody heard the new album? Really rad roomy drum sound on this album.
3618,"I assume most of you edit first then replace, but I'm curious if some of you ever replace before editing, just so that you can work with better drum tones? i can gfms"
4315,"So yeah, I love that I've been finding these metal bands that have clean vocals but are still heavy without being overly power metally or cheesy (IMO of course). First it was Mercenary, and now it's Pyramaze: I know that intro riff is generic, but it's amazing how much cooler it gets with the layering going on. And yes, that's Matt Barlow doing vox (their first album he wasn't on apparently, haven't gotten around to spinning that yet). But yeah, does anyone have any other recommendations for bands like these guys and Mercenary? Slightly power metal without too many cliches? So no Dream Evil, no Hammerfall, no Helloween, etc. please"
4112,"Uploaded from Warrel's cell phone, and they aren't that bad of quality... I must say this shit sounds good the dick is hard! Just click around and there are a few more samples there. http://www.mobypicture.com/user/Warrel_Dane/view/444887"
1136,"Hey guys, We've been having this discussion on another thread. I'm hoping a poll will help paint a picture of the breakdown of what the majority of people feel is a fair price. As well as slightly revised versions of the drum and guitar guide sections currently out on this board, the text will likely contain: Foreword/introduction to basic mixing concepts and methodology Bass mixing guide Synth mixing guide Acoustic instrument mixing guide Vocal mixing guide Master bus processing Conclusion So please vote fairly, and help me get an idea of what the community wants! Thanks!"
108,"Hey people, this is a clip from a track I have been working on. Song is 90% complete. Any feedback greatly welcomed as my ears are tired."
1969,i been trying to find some info about this process. i know its possible because ive seen people selling waves plugins on ebay but i might be blind or something i couldnt find out how to transfer ownership on the waves site. anyone have any knowledge about this? thanks
4805,"So I've worked ALL DAY with a song and now I can't open the project file. It just says ""invalid project file project43523431.cpr"". I'm about to do something really retarded if I can't sort this out.. Does anybody know what to do about this? I'm using Cubase, but I guess you've already figured that one out."
1729,"Hey guys! I tried looking and couldn't find anything. But I figured I'd try get the ball rolling on this one. I will get my lead parts done to a click by some point next week. But before I do, I am curious as to what tuning we want to do this to? We can either keep it to the original *E i believe* or we can attempt to be a little more original with it, but then it's not REALLY a tribute IMO. My band will be playing a Holy Diver tribute at our next gig, and essentially I just transposed the song so that it could be played in Drop B etc kind of like killswitch, but with the original riffs/ notes etc. So that's an option/ But if you guys are happy, the original way seems fine to me and probably is the best to use. Thoughts?? Cheers, Chris"
1947,hey there does anyone know any rehearsal studio in oslo-norway? cheers
3941,"So, today I've been alerted that there's a fraud auction for an ESP KH-2 Ouija at Ebay. http://cgi.ebay.com/ESP-KH-2-Ouija-...r?hash=item3355e0475c&_trksid=p3286.m20.l1116 The photos showed aren't from the seller, photos are from a member of another forum where I post, and he realized this morning that someone was using his photos in an ebay auction. Also the specs are not related with the real guitar from the photos, no set neck, no mirror inlays, and no tiny knick at the headstock. The seller may seem legit cause he has 98% positive votes, but all positive votes are from really fucking cheap sells, and now after lots of cheap sells he comes with this 8100$ guitar... So I just wanted to warn everyone I could!"
1482,"I dont know if any of you have heard the NEW Deftones album its fucking great. Anyways the vibe/color of the album has ""a veritable myriad of visuals, sonic landscapes"" ""Chino is welcoming the world properly to outer space ""-reviews Chino said that when writing this album he had star wars in mind. Anyways what are some programs with synths that have this surreal sound/texture i fucking love it. Its soothing and beautiful. Please any plugin suggestions as well as any specific names of ambient synths would be great. thanks."
4262,"I thought I had a guitar stolen 2 years ago at a show I played in another town. I didn't even think of it being stolen or anything until a couple months later, because of all the gear we were moving at the time...I figured it got covered up somewhere. After a few months, I started wondering and began to contact the bands we played with, asking if they knew of it's whereabouts. None of them did. A couple of days ago, this guy from another town over hits me up on my myspace and says he has this guitar that he was pretty sure I could do justice for and wanted to trade me a motorcycle for it or something. He described it, and I was like ""wtf? That sounds like mine!"". So I conned him into telling me the s/n, since I still had the warranty card with the s/n on it: he told me. Sure enough, it was my axe. I was still under the impression it was stolen, so before I said anything else to him about it, I called the cops in the town where it went missing to file a report (which I didn't do at first because it was months before I figured it got jacked, and the police don't exactly have a good track record of finding stolen stuff, IMO). They called the PD where this dude lives...those guys called the dude up and said it was reported as stolen. He was like ""Oh shit, I didn't know! I'll just go bring it to him now!"". Come to find out, my axe sat in a venue in the town where the dude lives, which we played once, for over several months. This dude came in one day, after seeing it there over this period of time, and asked the bartender about it. BT said ""Its been here for months, nobody has come to look for it. I'll sell it to you for $150 just to get it out of here"". So he grabbed it...and held onto it for almost 2 years, as he is a lefty guitar player and it wasn't going to do him any good...he figured he'd get rid of it eventually. He saw me play a few times, and admired my playing, so he figured he'd offer it to me first. He didn't even know he was offering me my own guitar! So, he brought it back to me last night. It's obviously been fondled (missing a lockdown screw for the nut, the DiMarzio click-lock strap is missing the main part of it, a screw in the pickguard is missing), but I got it back. My 1991 Ibanez RG750BK, which I brought with me as a backup to a show and got left behind...is back. Now I'm only irritated as to why it got left behind. The one time we played there, I couldn't get the night off from work. They told me I could play the show but I had to come in when I was done. So literally after we stopped playing, I handed my gear off to my band and went to work 30 miles away. The dude who usually oversaw the equipment when I wasn't able to, who is no longer in the band anymore for reasons like this, tended to get a little off task whenever there was any offer of a party or whatever. I'm sure he was distracted for whatever reason and left it there. So yeah...theres my story."
3609,"I know it gets discussed here alot but, still found it interesting that the NPR wrote an article on the subject. http://www.npr.org/templates/story/story.php?storyId=121304883"
3883,"This isn't a request for specific information, rather a suggestion that we pool all thoughts and ideas on guitar setups, including everything from string gauge, intonation tips, everything that you guys do to your guitars or hope the player has done to theirs that affects sound or tone before the sound leaves the guitar... (the reason i've suggested this is recently i've been listening to Arch Enemy's Rise of the Tyrant a lot more. Not an album that blew me away mix wise (Wages and Doomsday own) but when listening to some of the guitar parts, specifically the verse riffs for I will live again, I can't get over how the slides and chord changes sound so powerful yet so precise, the notes are so perfect, and i know playing guitar properly is the main factor, but i also know it helps if the guitar is setup properly.)"
2957,"Hey guys. I am in need of something with enough gain to record my SM7B into my computer. I am really looking for something semi-entry level....not looking for the world's best pre-amp. I use the SM7B for cleans and screams, so obviously I am going to need a preamp with enough gain and a good enough sound for both. Do these preamps typically have a usb port or something to hook them up to the computer? Anyways, I'm looking for something below 200 bucks, and will probably go used. But recommend away! Don't need multiple channels, just going to be recording vocals at one time by itself. Thanks guys."
370,"Any interested in coming I can guest list you and we can talk smack. Running list: Netherlands Mendel bij de Leij Hamburg Lasse +1 Berlin Jannick +1 Vienna Viktor London Adam Smith, Sam Fenney and Leon Deely"
3148,"C'mon, don't tell me you didn't see it coming I just wanted to try to describe in words the sheer JOY I feel when I work with this platform above all others. Something as simple as going through some guide tracks and adding tempos, meters and markers is an absolute breeze. The workflow it provides you with can almost be called musical. Hell I was just jamming out to the tracks I was marking. I'm not even going to get into multi-track audio editing here because that would be a novel all on its own. Suffice to say that this DAW feels like an extension of myself whenever I use it. It is such a pleasure to jump to after being forced to mix in Cubase for a few days. It is leagues beyond in intuitiveness workflow, appearance, functionality, it's ridiculous. Sure it has it's pitfalls like... well, namely Digidesign - Being hardware exclusive, not supporting VST/AU and a few other things. Even with all those drawbacks it's still my platform of choice for editing and tracking whenever possible. The designers obviously consulted professional audio engineers, and didn't leave things to chance like many other DAW makers. The fact that you don't need to surf through endless sub-menus with stupidly verbose options that may as well find their way into a literary jerkoff contest is an absolute boon for someone looking for expediency. Anyway, this is a thread for PT users to share their thoughts about the platform. Likes and dislikes, and where we think Digi might take the platform in the future, given the impending obsolescence of TDM systems."
3878,"So I've been listening to Ignite's latest ""Our Darkest Days"" lately a lot and I'm beginning to think that he might be the guy to fill the huge shoes Jerry Finn (R.I.P.) left behind. Cameron also did mix Social Distortion's and Motorhead's latest, which both sound great. Especially ""Love, Sex And Rock'n'Roll""... I was so bummed out when I heard Jerry died, because he did the IMHO best sounding modern punk records of the nineties (Dookie,...And Out Come The Wolves, Enema Of The State etc.). And I've been finding some of Jerry's trademarks in Cameron's productions: very audible bass, GREAT vocal sounds, punchy and clear yet somehow raw guitars. Opinions? Edit: Short but nice interview with Cameron: http://www.vintagemicrophone.com/JShop/page.php?xPage=article15.html"
3555,"This album's production blows me away. It does EVERYTHING right. Natural, huge guitar tone. Mega natural sounding drums, fairly raw, yet still really ""mixed"" sounding. NOT SMASHED TO FUCK EITHER! Textbook example of how to perfectly produce a metal album imo Can we get some info on this production? What guitar amp was used? What mics on the cab? Info on the drums? Sample augmented or all natural? Vocal chain? Etc"
